                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0355,                0.60329,                 0.9973,                0.80225,                0.70682,                 0.7611,                0.46686,                  1.086,                0.59928,                 1.0692,              0.0011857,              0.0011857,              0.0011857
                     46,                 1.0154,                0.59136,                0.98297,                 0.8822,                 0.6964,                0.77791,                0.49815,                 1.0407,                0.57429,                 1.0474,                0.00118,                0.00118,                0.00118
                     47,                 1.0028,                0.57991,                0.98856,                0.81138,                0.67553,                0.75494,                0.47327,                 1.0421,                0.56653,                 1.0461,              0.0011744,              0.0011744,              0.0011744
                     48,                 1.0034,                0.57422,                0.99034,                0.86134,                0.65646,                0.74414,                0.45986,                 1.0728,                0.58972,                 1.0651,              0.0011687,              0.0011687,              0.0011687
                     49,                 1.0015,                0.57465,                0.98984,                0.81256,                0.68215,                0.74379,                0.47795,                 1.0451,                0.56229,                 1.0533,               0.001163,               0.001163,               0.001163
                     50,                 1.0123,                 0.5689,                0.98812,                 0.7798,                0.69759,                0.74978,                0.46889,                 1.0675,                0.58356,                 1.0737,              0.0011574,              0.0011574,              0.0011574
                     51,                 1.0054,                0.57178,                0.99321,                0.88165,                 0.6401,                0.73735,                0.45961,                 1.0612,                0.58215,                 1.0562,              0.0011517,              0.0011517,              0.0011517
                     52,                0.99883,                0.57249,                0.98819,                   0.83,                0.69358,                0.77347,                0.48967,                 1.0345,                0.57761,                 1.0515,              0.0011461,              0.0011461,              0.0011461
                     53,                 1.0121,                0.57887,                0.99344,                0.71192,                0.58554,                0.64306,                0.40965,                 1.0307,                0.62578,                 1.0413,              0.0011404,              0.0011404,              0.0011404
                     54,                 1.0193,                0.56729,                0.99507,                0.76429,                0.62856,                0.69985,                 0.4285,                  1.068,                0.58502,                 1.0602,              0.0011347,              0.0011347,              0.0011347
                     55,                0.99418,                0.56468,                0.98722,                0.78968,                 0.6936,                0.72462,                0.44627,                 1.0567,                0.57168,                 1.0665,              0.0011291,              0.0011291,              0.0011291
                     56,                 1.0007,                0.56715,                0.99515,                0.86291,                0.64642,                0.75496,                0.47909,                 1.0214,                0.55734,                 1.0422,              0.0011234,              0.0011234,              0.0011234
                     57,                 1.0088,                0.56097,                0.98854,                0.77369,                0.70855,                0.75875,                0.47547,                 1.0305,                0.57016,                 1.0494,              0.0011178,              0.0011178,              0.0011178
                     58,                0.98092,                0.56919,                0.98696,                0.86087,                0.66096,                0.74137,                0.46044,                 1.0395,                0.57359,                 1.0525,              0.0011121,              0.0011121,              0.0011121
                     59,                0.98758,                0.54974,                0.98743,                0.80622,                 0.7246,                0.77232,                 0.4866,                 1.0381,                0.55414,                 1.0669,              0.0011064,              0.0011064,              0.0011064
                     60,                0.98152,                0.56072,                0.98012,                0.89981,                0.62744,                0.74794,                0.47524,                 1.0267,                0.57417,                 1.0499,              0.0011008,              0.0011008,              0.0011008
                     61,                0.99726,                0.55546,                0.98485,                0.86265,                0.67188,                0.76707,                0.47393,                 1.0646,                  0.581,                 1.0788,              0.0010951,              0.0010951,              0.0010951
                     62,                0.96231,                0.54517,                0.97624,                0.85963,                0.65741,                0.75273,                0.47519,                 1.0223,                0.59301,                 1.0448,              0.0010895,              0.0010895,              0.0010895
                     63,                0.95817,                0.55408,                0.98183,                0.71194,                0.72459,                0.76607,                0.47609,                 1.0427,                0.57858,                 1.0511,              0.0010838,              0.0010838,              0.0010838
                     64,                0.98025,                0.54607,                0.97395,                0.78095,                0.66743,                0.72723,                0.45584,                 1.0439,                  0.576,                 1.0635,              0.0010782,              0.0010782,              0.0010782
                     65,                0.95557,                0.54255,                0.96379,                 0.7841,                0.67345,                 0.7603,                0.47784,                 1.0399,                0.56058,                 1.0424,              0.0010725,              0.0010725,              0.0010725
                     66,                0.97218,                0.53751,                0.97236,                 0.9047,                0.65441,                0.74752,                0.46218,                 1.0519,                0.57371,                 1.0495,              0.0010668,              0.0010668,              0.0010668
